Author,Rank,Rating,Score,Title,Votes
Margaret Atwood (Goodreads Author),1,4.09,"score: 30,733",The Handmaid's Tale,314
Suzanne Collins,2,4.33,"score: 28,553",The Hunger Games,292
Mary Wollstonecraft Shelley,3,3.78,"score: 21,909",Frankenstein,224
Madeleine L'Engle,4,4.01,"score: 18,720",A Wrinkle in Time,196
Ursula K. Le Guin,5,4.06,"score: 17,920",The Left Hand of Darkness,184
Veronica Roth (Goodreads Author),6,4.21,"score: 13,326",Divergent,138
Suzanne Collins,7,4.29,"score: 12,749",Catching Fire,133
Lois Lowry (Goodreads Author),8,4.12,"score: 12,399",The Giver,129
Octavia E. Butler,9,4.23,"score: 11,070",Kindred,116
Ursula K. Le Guin,10,4.21,"score: 10,731",The Dispossessed,112
Margaret Atwood (Goodreads Author),11,4.01,"score: 10,117",Oryx and Crake,107
Suzanne Collins,12,4.03,"score: 9,807",Mockingjay,104
Audrey Niffenegger (Goodreads Author),13,3.96,"score: 9,193",The Time Traveler's Wife,98
Connie Willis,14,4.03,"score: 8,935",Doomsday Book,96
Ursula K. Le Guin,15,4.11,"score: 7,775",The Lathe of Heaven,84
Ann Leckie (Goodreads Author),16,3.98,"score: 7,336",Ancillary Justice,81
Lois McMaster Bujold (Goodreads Author),17,4.11,"score: 7,017",Shards of Honour,75
Connie Willis,18,4.13,"score: 6,890",To Say Nothing of the Dog,74
Mary Doria Russell (Goodreads Author),19,4.17,"score: 6,873",The Sparrow,72
Anne McCaffrey,20,4.10,"score: 6,802",Dragonflight,74
Octavia E. Butler,21,4.16,"score: 6,653",Parable of the Sower,71
Lois McMaster Bujold (Goodreads Author),22,4.29,"score: 6,087",The Warrior's Apprentice,65
Lois McMaster Bujold (Goodreads Author),23,4.31,"score: 5,623",Barrayar,60
Stephenie Meyer,24,3.84,"score: 5,274",The Host,56
Veronica Roth (Goodreads Author),25,4.05,"score: 4,899",Insurgent,54
Lois McMaster Bujold (Goodreads Author),26,4.45,"score: 4,682",Memory,51
P.D. James,27,3.68,"score: 4,484",The Children of Men,49
G.S. Jennsen (Goodreads Author),28,3.91,"score: 4,394",Starshine: Aurora Rising Book One,45
Margaret Atwood (Goodreads Author),29,4.06,"score: 4,343",The Year of the Flood,47
Anne McCaffrey,30,4.09,"score: 4,235",Crystal Singer,47
Lois McMaster Bujold (Goodreads Author),31,4.33,"score: 4,120",Mirror Dance,47
Octavia E. Butler,32,4.33,"score: 4,108",Lilith's Brood,47
Lois McMaster Bujold (Goodreads Author),33,4.28,"score: 3,895",The Vor Game,46
Octavia E. Butler,34,4.21,"score: 3,842",Wild Seed,43
Madeleine L'Engle,35,4.04,"score: 3,700",A Wind in the Door,42
Lois McMaster Bujold (Goodreads Author),36,4.43,"score: 3,683",A Civil Campaign,43
Lois McMaster Bujold (Goodreads Author),37,4.21,"score: 3,653",Brothers in Arms,43
Lois McMaster Bujold (Goodreads Author),38,4.17,"score: 3,618",Cetaganda,43
